n_paragraphs,n_sections,FRE,title_len,art_len,0,1,2,3,4,5,6,7,8,9,2017,2018,2019,2020,2021,2022,top5,top10
15,1,46.91,39,7778,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
23,1,59.33,51,9974,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
17,2,63.49,40,3697,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
26,1,61.26,42,4623,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
20,2,58.82,34,5514,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
10,1,58.92,57,2469,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
30,1,75.0,41,4036,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
17,1,45.05,128,7904,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,1,48.74,384,5580,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,2.0
17,1,33.24,451,4228,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,5.0
22,1,72.05,32,5272,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
16,1,32.94,386,6693,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,6.0
21,1,65.12,23,4893,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
43,3,64.2,17,5768,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
9,1,49.79,35,5330,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
25,4,73.78,41,5763,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
26,5,51.78,17,4101,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
57,1,56.39,90,16224,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
15,1,51.78,46,3275,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
197,10,72.16,60,18359,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
